"","id","country","year","referendum","protestfinal","ethfrac","lang","relig","win","gwf","protest_cnts","sample_geddes","psyhint","infl","efw","gini","turnout","country_name","type","boycottopp","nelda_index","neldaindex","pop","gwf1","phat","ethfrac1","new_nelda","gwf2"
"49",131,"Guinea",1998,0,0,0.738900005817413,0.772499978542328,0.264899998903275,1,"personal",0,1,4,NA,NA,40.2999992370605,69.8300018310547,28,1,0,3,1.64497518539429,8457221,6,0.311437249183655,3,0.714617967605591,1
"50",115,"Gambia",2006,0,0,0.786400020122528,0.807600021362305,0.0970000028610229,1,"personal",0,1,3,2.05578994750977,35.0400009155273,47.2799987792969,58.5999984741211,24,1,0,0,-1.93558049201965,1482324,6,0.311437249183655,3,1.59274138322729e-09,1
"51",303,"Tunisia",2009,0,0,0.0394000001251698,0.0124000003561378,0.0104000000283122,1,"party-based",0,1,4,3.52481007575989,14.3400001525879,36.060001373291,89.4499969482422,65,1,0,3,1.64497518539429,10439600,2,0.135978117585182,1,0.714617967605591,2
"52",237,"Russia",2011,0,1,0.245199993252754,0.248500004410744,0.43979999423027,1,"personal",8,1,NA,8.4350004196167,12.6000003814697,40.1100006103516,60.0999984741211,52,0,0,NA,NA,142956460,6,0.311437249183655,1,NA,1
"53",193,"Namibia",1999,0,0,0.63289999961853,0.700500011444092,0.662599980831146,1,"party-based",NA,1,NA,NA,32.1879997253418,63.9000015258789,NA,43,1,0,1,-0.871042251586914,1857149,2,0.135978117585182,2,0.212463721632957,2
"54",274,"Taiwan",1992,0,0,0.274399995803833,0.502799987792969,0.684499979019165,1,"party-based",1,1,8,NA,45.4599990844727,NA,72,61,0,0,1,-0.871042251586914,NA,2,0.135978117585182,1,0.212463721632957,2
"55",196,"Namibia",2004,0,0,0.63289999961853,0.700500011444092,0.662599980831146,1,"party-based",NA,1,NA,NA,33.7400016784668,63.9000015258789,NA,43,0,0,1,-0.871042251586914,2003320,2,0.135978117585182,2,0.212463721632957,2
"56",18,"Azerbaijan",1993,1,0,0.204699993133545,0.205400004982948,0.48989999294281,1,"personal",0,1,3,1128,45,34.9599990844727,97.5999984741211,5,1,0,3,1.64497518539429,7495000,6,0.311437249183655,1,0.714617967605591,1
"57",43,"Cambodia",2003,0,0,0.210500001907349,0.210500001907349,0.210500001907349,1,"party-based",0,1,4,1.21001005172729,28.5200004577637,41.8499984741211,80,9,0,0,0,-1.93558049201965,12934369,2,0.135978117585182,1,1.59274138322729e-09,2
"58",149,"Kazakhstan",1999,0,0,0.61710000038147,0.66210001707077,0.589800000190735,1,"personal",0,1,5,8.29603004455566,16.3400001525879,41.1100006103516,85.7699966430664,34,1,0,2,0.813178300857544,14928426,6,0.311437249183655,2,0.548605442047119,1
"59",48,"Cameroon",2004,0,0,0.863499999046326,0.889800012111664,0.733799993991852,1,"personal",0,1,4,0.233647003769875,14.1000003814697,38.9099998474121,82.1999969482422,10,1,0,2,0.580436944961548,17674960,6,0.311437249183655,3,0.502154231071472,1
"60",263,"Sri Lanka",1994,0,0,0.41499999165535,0.46450001001358,0.485300004482269,0,"party-based",0,1,2,8.44871044158936,39.2000007629395,35.4099998474121,70.4700012207031,59,1,0,0,-1.93558049201965,17891000,2,0.135978117585182,2,1.59274138322729e-09,2
"61",157,"Kenya",2002,0,0,0.858799993991852,0.885999977588654,0.77649998664856,0,"party-based",1,1,2,1.96131002902985,25.1000003814697,42.5099983215332,57.1800003051758,35,1,0,1,-0.616713464260101,33000524,2,0.135978117585182,3,0.26322340965271,2
"62",169,"Malaysia",1990,0,0,0.587999999523163,0.597000002861023,0.665700018405914,1,"party-based",0,1,3,NA,33.7999992370605,46.1699981689453,72.3000030517578,38,0,0,1,-0.871042251586914,18211097,2,0.135978117585182,2,0.212463721632957,2
"63",234,"Russia",2004,0,0,0.245199993252754,0.248500004410744,0.43979999423027,1,"personal",NA,1,NA,NA,12.3999996185303,37.1399993896484,64.3000030517578,52,1,0,1,-0.616713464260101,143821212,6,0.311437249183655,1,0.26322340965271,1
