"","democracy","sex","education","sub_income","left_right_scale","relig_authorities","army_coup","people_obey","national_pride","civil_rights","free_elections"
"161","Very good","Male","1","3",9,2,7,8,1,6,8
"162","Fairly bad","Male","1","2",6,8,8,8,2,6,5
"163","Fairly good","Female","1","2",5,4,7,8,1,8,7
"164","Fairly good","Female","0","2",5,6,7,8,2,8,7
"165","Very good","Male","0","2",8,7,7,6,2,10,10
"166","Very good","Male","1","3",4,1,8,9,1,10,10
"167","Fairly good","Male","0","1",5,5,7,10,2,10,10
"168","Fairly good","Female","1","1",5,3,7,10,1,10,8
"169","Fairly good","Male","1","1",4,1,5,10,2,10,10
"170",NA,"Male","0","2",5,7,8,8,1,5,8
"171","Fairly good","Female","0","2",NA,3,0,6,2,9,4
"172","Very bad","Female","1","2",5,2,2,6,3,5,7
"173","Very good","Male","1","3",10,1,5,10,1,10,10
"174","Very good","Female","1","2",NA,2,1,8,2,10,10
"175","Very good","Male","1","2",6,3,6,10,2,8,10
"176","Very good","Female","0","2",NA,1,1,6,2,10,10
"177","Very bad","Female","0","2",7,8,5,6,2,8,6
"178","Fairly good","Male","0","2",5,1,1,5,1,10,10
"179",NA,"Female","1","2",7,7,10,10,1,10,10
"180","Very good","Female","1","2",5,0,10,10,1,10,10
"181","Very good","Male","1","2",6,5,10,8,1,9,10
"182","Fairly good","Female","1","3",10,6,10,10,1,10,10
"183","Fairly good","Female","0","2",4,6,NA,2,1,10,3
"184","Fairly bad","Male","1","2",3,1,3,8,2,4,10
"185","Fairly good","Female","0","1",NA,1,1,5,1,NA,10
"186",NA,"Female","0","2",NA,NA,NA,3,2,8,10
"187","Fairly good","Female","1","2",5,0,10,9,2,10,10
"188","Very good","Female","0","2",7,5,6,5,2,4,8
"189","Very good","Female","0","1",7,7,6,5,2,6,5
"190","Very good","Female","1","2",NA,2,6,7,2,9,8
"191","Very good","Female","0","3",5,2,7,7,1,10,9
"192","Fairly good","Female","0","1",NA,NA,1,8,2,5,NA
"193","Fairly good","Female","0","1",NA,4,NA,2,1,10,6
"194","Fairly good","Female","0","1",5,1,5,6,2,10,10
"195",NA,"Female","1","2",6,5,5,7,1,6,10
